year,resource,variable,units,magnitude,source,data_value,flag
2010,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2010,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,6967435,F
2010,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,506747,F
2010,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,597935,F
2010,Oil,Generation,Gigawatt hours,Actual,MBIE,9,F
2010,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,9633149,F
2010,Renewable,Generation,Gigawatt hours,Actual,MBIE,31182,F
2010,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2010,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,8828660,F
2010,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,804489,F
2010,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,770652,F
2010,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2010,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1116,F
2010,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2010,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2010,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1077,F
2010,Solar,Other changes,Dollars,Thousands,Environmental Accounts,39,F
2010,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,89,F
2010,Total generation,Generation,Gigawatt hours,Actual,MBIE,42739,F
2010,Total generation,Prices,Number,Average,Electricity Authority,53,F
2010,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1056272,F
2010,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51,F
2010,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,486810,F
2010,Wind,Generation,Gigawatt hours,Actual,MBIE,1576,F
2010,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2010,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,339769,F
2010,Wind,Other changes,Dollars,Thousands,Environmental Accounts,147041,F
2010,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,38945,F
2010,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,159819,F
2010,Wood,Generation,Gigawatt hours,Actual,MBIE,517,F
2010,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147405,F
2010,Wood,Other changes,Dollars,Thousands,Environmental Accounts,12414,F
2010,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,12786,F
2011,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,61687,R
2011,Biogas,Generation,Gigawatt hours,Actual,MBIE,215,F
2011,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,68148,F
2011,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-6461,R
2011,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4935,R
2011,Coal,Generation,Gigawatt hours,Actual,MBIE,1635,F
2011,Gas,Generation,Gigawatt hours,Actual,MBIE,8800,F
2011,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1664738,R
2011,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5808,F
2011,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.13,F
2011,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1443074,F
2011,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,221664,R
2011,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,133179,R
2011,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7145773,R
2011,Hydro,Generation,Gigawatt hours,Actual,MBIE,24931,F
2011,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2011,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7474182,F
2011,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-328409,R
2011,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,571662,R
2011,Oil,Generation,Gigawatt hours,Actual,MBIE,1,F
2011,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,9482541,R
2011,Renewable,Generation,Gigawatt hours,Actual,MBIE,33084,F
2011,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.76,F
2011,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,9633149,F
2011,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-150608,R
2011,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,758603,R
2011,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.76,F
2011,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1108,F
2011,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2011,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1116,F
2011,Solar,Other changes,Dollars,Thousands,Environmental Accounts,-9,R
2011,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,89,F
2011,Total generation,Generation,Gigawatt hours,Actual,MBIE,43579,F
2011,Total generation,Prices,Number,Average,Electricity Authority,52,F
2011,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,999249,R
2011,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2011,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,469549,R
2011,Wind,Generation,Gigawatt hours,Actual,MBIE,1638,F
2011,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2011,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,486810,F
2011,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-17262,R
2011,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,37564,R
2011,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,139687,R
2011,Wood,Generation,Gigawatt hours,Actual,MBIE,487,F
2011,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2011,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,159819,F
2011,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-20132,R
2011,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,11175,R
2012,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,68257,R
2012,Biogas,Generation,Gigawatt hours,Actual,MBIE,219,F
2012,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,61687,R
2012,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,6570,R
2012,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5461,R
2012,Coal,Generation,Gigawatt hours,Actual,MBIE,2327,F
2012,Gas,Generation,Gigawatt hours,Actual,MBIE,8265,F
2012,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1856453,R
2012,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5965,F
2012,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2012,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1664738,R
2012,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,191715,R
2012,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,148516,R
2012,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7442997,R
2012,Hydro,Generation,Gigawatt hours,Actual,MBIE,23913,F
2012,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.55,F
2012,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7145773,R
2012,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,297224,R
2012,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,595440,R
2012,Oil,Generation,Gigawatt hours,Actual,MBIE,2,F
2012,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,10147732,R
2012,Renewable,Generation,Gigawatt hours,Actual,MBIE,32603,F
2012,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.75,F
2012,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,9482541,R
2012,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,665191,R
2012,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,811819,R
2012,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.75,F
2012,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1325,R
2012,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2012,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2012,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1108,F
2012,Solar,Other changes,Dollars,Thousands,Environmental Accounts,218,F
2012,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,106,F
2012,Total generation,Generation,Gigawatt hours,Actual,MBIE,43240,F
2012,Total generation,Prices,Number,Average,Electricity Authority,75,F
2012,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1076665,R
2012,Waste heat,Generation,Gigawatt hours,Actual,MBIE,42,F
2012,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,623128,R
2012,Wind,Generation,Gigawatt hours,Actual,MBIE,2002,F
2012,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2012,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,469549,R
2012,Wind,Other changes,Dollars,Thousands,Environmental Accounts,153579,R
2012,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,49850,R
2012,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,155572,R
2012,Wood,Generation,Gigawatt hours,Actual,MBIE,500,F
2012,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,139687,R
2012,Wood,Other changes,Dollars,Thousands,Environmental Accounts,15885,R
2012,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,12446,R
2013,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,66430,R
2013,Biogas,Generation,Gigawatt hours,Actual,MBIE,208,F
2013,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2013,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,68257,R
2013,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-1827,R
2013,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5314,R
2013,Coal,Generation,Gigawatt hours,Actual,MBIE,3248,F
2013,Gas,Generation,Gigawatt hours,Actual,MBIE,8268,F
2013,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1947765,R
2013,Geothermal,Generation,Gigawatt hours,Actual,MBIE,6095,F
2013,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2013,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1856453,R
2013,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,91312,R
2013,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,155821,R
2013,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7256992,R
2013,Hydro,Generation,Gigawatt hours,Actual,MBIE,22710,F
2013,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2013,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7442997,R
2013,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-186005,R
2013,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,580559,R
2013,Oil,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,10083496,R
2013,Renewable,Generation,Gigawatt hours,Actual,MBIE,31556,F
2013,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2013,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,10147732,R
2013,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-64236,R
2013,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,806680,R
2013,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2013,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1595,R
2013,Solar,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2013,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1325,R
2013,Solar,Other changes,Dollars,Thousands,Environmental Accounts,270,F
2013,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,128,F
2013,Total generation,Generation,Gigawatt hours,Actual,MBIE,43110,F
2013,Total generation,Prices,Number,Average,Electricity Authority,81,F
2013,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1102043,R
2013,Waste heat,Generation,Gigawatt hours,Actual,MBIE,33,F
2013,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,637979,R
2013,Wind,Generation,Gigawatt hours,Actual,MBIE,1997,F
2013,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2013,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,623128,R
2013,Wind,Other changes,Dollars,Thousands,Environmental Accounts,14851,R
2013,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,51038,R
2013,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,172734,R
2013,Wood,Generation,Gigawatt hours,Actual,MBIE,541,F
2013,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2013,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,155572,R
2013,Wood,Other changes,Dollars,Thousands,Environmental Accounts,17162,R
2013,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,13819,R
2014,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,69573,R
2014,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2014,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2014,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,66430,R
2014,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,3143,F
2014,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5566,R
2014,Coal,Generation,Gigawatt hours,Actual,MBIE,2012,F
2014,Gas,Generation,Gigawatt hours,Actual,MBIE,7588,F
2014,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2255028,R
2014,Geothermal,Generation,Gigawatt hours,Actual,MBIE,6629,F
2014,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.16,F
2014,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1947765,R
2014,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,307263,R
2014,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,180402,R
2014,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7890123,R
2014,Hydro,Generation,Gigawatt hours,Actual,MBIE,23194,F
2014,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.55,F
2014,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7256992,R
2014,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,633131,R
2014,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,631210,R
2014,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2014,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,11107540,R
2014,Renewable,Generation,Gigawatt hours,Actual,MBIE,32652,F
2014,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.77,F
2014,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,10083496,R
2014,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,1024044,R
2014,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,888603,R
2014,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.77,F
2014,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,3098,R
2014,Solar,Generation,Gigawatt hours,Actual,MBIE,9,F
2014,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2014,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1595,R
2014,Solar,Other changes,Dollars,Thousands,Environmental Accounts,1503,R
2014,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,248,R
